open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2017-08-17 04:00:00,301.13000000,301.13000000,301.13000000,301.13000000,0.42643000,2017-08-17 04:00:59.999,128.41086590,2,0.42643000,128.41086590
2017-08-17 04:01:00,301.13000000,301.13000000,301.13000000,301.13000000,2.75787000,2017-08-17 04:01:59.999,830.47739310,4,2.75787000,830.47739310
2017-08-17 04:02:00,300.00000000,300.00000000,300.00000000,300.00000000,0.09930000,2017-08-17 04:02:59.999,29.79000000,2,0.09930000,29.79000000
2017-08-17 04:03:00,300.00000000,300.00000000,300.00000000,300.00000000,0.31389000,2017-08-17 04:03:59.999,94.16700000,3,0.00000000,0.00000000
2017-08-17 04:04:00,301.13000000,301.13000000,301.13000000,301.13000000,0.23202000,2017-08-17 04:04:59.999,69.86818260,1,0.23202000,69.86818260
2017-08-17 04:05:00,300.00000000,301.13000000,300.00000000,301.13000000,0.75705000,2017-08-17 04:05:59.999,227.40625750,4,0.75705000,227.40625750
2017-08-17 04:06:00,300.10000000,300.10000000,300.10000000,300.10000000,0.90018000,2017-08-17 04:06:59.999,270.14401800,4,0.90018000,270.14401800
2017-08-17 04:07:00,300.10000000,300.10000000,300.10000000,300.10000000,0.00000000,2017-08-17 04:07:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:08:00,300.10000000,300.10000000,298.00000000,298.00000000,0.31493000,2017-08-17 04:08:59.999,94.50238700,2,0.31107000,93.35210700
2017-08-17 04:09:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:09:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:10:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:10:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:11:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:11:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:12:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:12:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:13:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:13:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:14:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:14:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:15:00,298.00000000,298.00000000,298.00000000,298.00000000,9.59614000,2017-08-17 04:15:59.999,2859.64972000,1,0.00000000,0.00000000
2017-08-17 04:16:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:16:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:17:00,298.00000000,298.00000000,298.00000000,298.00000000,0.00000000,2017-08-17 04:17:59.999,0.00000000,0,0.00000000,0.00000000
2017-08-17 04:18:00,298.00000000,298.00000000,298.00000000,298.00000000,2.91114000,2017-08-17 04:18:59.999,867.51972000,1,2.91114000,867.51972000
2017-08-17 04:19:00,299.05000000,299.05000000,299.05000000,299.05000000,0.37758000,2017-08-17 04:19:59.999,112.91529900,2,0.37758000,112.91529900
2017-08-17 04:20:00,299.05000000,299.05000000,299.05000000,299.05000000,0.17585000,2017-08-17 04:20:59.999,52.58794250,3,0.17585000,52.58794250
2017-08-17 04:21:00,299.05000000,300.10000000,299.05000000,300.10000000,6.40719000,2017-08-17 04:21:59.999,1918.11303900,5,0.33803000,101.28605900
