open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignored
2020-07-23 14:00:00,1.01000000,1.08800000,1.01000000,1.07000000,103998.61000000,2020-07-23 14:00:59.999,109856.19160800,455,89019.70000000,94191.38132700,0
2020-07-23 14:01:00,1.07000000,1.14140000,1.07000000,1.10000000,96399.19000000,2020-07-23 14:01:59.999,104782.29767900,308,77741.88000000,84360.45748600,0
2020-07-23 14:02:00,1.10000000,1.10000000,1.09000000,1.09700000,99337.72000000,2020-07-23 14:02:59.999,109057.47146500,188,64716.84000000,71114.13233900,0
2020-07-23 14:03:00,1.09410000,1.09700000,1.08800000,1.09290000,44068.96000000,2020-07-23 14:03:59.999,48138.96798600,125,29098.46000000,31795.04392200,0
2020-07-23 14:04:00,1.09280000,1.09280000,1.06000000,1.06000000,112216.92000000,2020-07-23 14:04:59.999,120061.66053000,324,101501.75000000,108520.34611400,0
2020-07-23 14:05:00,1.06000000,1.06000000,1.03550000,1.04000000,66387.53000000,2020-07-23 14:05:59.999,69330.26399900,190,50181.25000000,52425.36212900,0
2020-07-23 14:06:00,1.04000000,1.04000000,1.03560000,1.03990000,36507.38000000,2020-07-23 14:06:59.999,37930.25457400,134,33090.55000000,34382.94394400,0
2020-07-23 14:07:00,1.03990000,1.03990000,1.02700000,1.02720000,7759.61000000,2020-07-23 14:07:59.999,8011.33251600,72,1889.20000000,1946.33948700,0
2020-07-23 14:08:00,1.02720000,1.03470000,1.02710000,1.03000000,10152.27000000,2020-07-23 14:08:59.999,10452.48825800,38,5223.69000000,5382.70634000,0
2020-07-23 14:09:00,1.03010000,1.03950000,1.03000000,1.03730000,21621.32000000,2020-07-23 14:09:59.999,22344.35334800,51,20328.77000000,21008.18975100,0
2020-07-23 14:10:00,1.03950000,1.07020000,1.03790000,1.05990000,34555.05000000,2020-07-23 14:10:59.999,36079.94799700,167,26284.68000000,27409.10250600,0
2020-07-23 14:11:00,1.05830000,1.06000000,1.04000000,1.04550000,47426.30000000,2020-07-23 14:11:59.999,49730.70505300,204,31902.95000000,33471.25723300,0
2020-07-23 14:12:00,1.04440000,1.04490000,1.04010000,1.04480000,8799.90000000,2020-07-23 14:12:59.999,9177.04257100,66,6199.12000000,6468.78492400,0
2020-07-23 14:13:00,1.04390000,1.04490000,1.03980000,1.03990000,57672.00000000,2020-07-23 14:13:59.999,60086.01740700,134,42503.32000000,44291.82940500,0
2020-07-23 14:14:00,1.03810000,1.03980000,1.03510000,1.03730000,3917.91000000,2020-07-23 14:14:59.999,4068.49240200,32,639.47000000,664.53136200,0
2020-07-23 14:15:00,1.03730000,1.03730000,1.03000000,1.03400000,12687.97000000,2020-07-23 14:15:59.999,13082.55848900,56,7996.07000000,8242.48773100,0
2020-07-23 14:16:00,1.03230000,1.03230000,1.02500000,1.02500000,19044.99000000,2020-07-23 14:16:59.999,19562.32847300,43,3980.97000000,4092.60016400,0
